frame_time_ms,frame_id,frame_type,marker,ch0_function,ch0_red,ch0_green,ch0_blue,ch1_function,ch1_red,ch1_green,ch1_blue,ch2_function,ch2_red,ch2_green,ch2_blue,ch3_function,ch3_red,ch3_green,ch3_blue,ch4_function,ch4_red,ch4_green,ch4_blue,ch5_function,ch5_red,ch5_green,ch5_blue,ch6_function,ch6_red,ch6_green,ch6_blue,ch7_function,ch7_red,ch7_green,ch7_blue,ch8_function,ch8_red,ch8_green,ch8_blue
0,0,color,,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0
60,1,color,,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0
120,2,color,,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15
180,3,color,,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0
240,4,color,,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15,0,0,15,15
300,5,color,,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
360,6,color,,0,15,15,15,0,15,15,15,0,15,15,15,0,15,15,15,0,15,15,15,0,15,15,15,0,15,15,15,0,15,15,15,0,15,15,15
420,7,blackout,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,8,color,,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0
540,9,color,,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0
